RECORDING FILE NAME,ORIGINAL FILE NAME,ORIGINAL FILE PART,LATITUDE,LONGITUDE,SPECIES,SCIENTIFIC NAME,ENGLISH NAME,SPECIES GROUP,PROBABILITY,WARNINGS,ACTUAL DATE,SURVEY DATE,TIME,CLASSIFIER NAME,USER ID,UPLOAD KEY,UPLOAD NAME,SURVEY NAME
51~65764+-1~19787_20220616_223832.wav,EARTH_20220616_223827.wav,2,51.65764,-1.19787,Myodau,Myotis daubentonii,Daubenton's Bat,bat,0.72,,16/06/2022,16/06/2022,22:38:32,ClassifEspGBR-WST2022-06-26_1,AKADEMY,202211071503JGC7NP1R,EarthTrust-ultra-2022-06-16,Citizen Science - shared
51~65764+-1~19787_20220616_224658.wav,EARTH_20220616_224653.wav,2,51.65764,-1.19787,Myodau,Myotis daubentonii,Daubenton's Bat,bat,0.63,,16/06/2022,16/06/2022,22:46:58,ClassifEspGBR-WST2022-06-26_1,AKADEMY,202211071503JGC7NP1R,EarthTrust-ultra-2022-06-16,Citizen Science - shared
51~65764+-1~19787_20220616_223545.wav,EARTH_20220616_223545.wav,0,51.65764,-1.19787,Nyclei,Nyctalus leisleri,Leisler's Bat,bat,0.16,Low confidence,16/06/2022,16/06/2022,22:35:45,ClassifEspGBR-WST2022-06-26_1,AKADEMY,202211071503JGC7NP1R,EarthTrust-ultra-2022-06-16,Citizen Science - shared
51~65764+-1~19787_20220616_212019.wav,EARTH_20220616_212019.wav,1,51.65764,-1.19787,Nycnoc,Nyctalus noctula,Noctule,bat,0.98,,16/06/2022,16/06/2022,21:20:19,ClassifEspGBR-WST2022-06-26_1,AKADEMY,202211071503JGC7NP1R,EarthTrust-ultra-2022-06-16,Citizen Science - shared
51~65764+-1~19787_20220616_212024.wav,EARTH_20220616_212019.wav,2,51.65764,-1.19787,Nycnoc,Nyctalus noctula,Noctule,bat,0.98,,16/06/2022,16/06/2022,21:20:24,ClassifEspGBR-WST2022-06-26_1,AKADEMY,202211071503JGC7NP1R,EarthTrust-ultra-2022-06-16,Citizen Science - shared
51~65764+-1~19787_20220616_212029.wav,EARTH_20220616_212019.wav,3,51.65764,-1.19787,Nycnoc,Nyctalus noctula,Noctule,bat,0.98,,16/06/2022,16/06/2022,21:20:29,ClassifEspGBR-WST2022-06-26_1,AKADEMY,202211071503JGC7NP1R,EarthTrust-ultra-2022-06-16,Citizen Science - shared
51~65764+-1~19787_20220616_213024.wav,EARTH_20220616_213024.wav,1,51.65764,-1.19787,Pippip,Pipistrellus pipistrellus,Common Pipistrelle,bat,0.98,,16/06/2022,16/06/2022,21:30:24,ClassifEspGBR-WST2022-06-26_1,AKADEMY,202211071503JGC7NP1R,EarthTrust-ultra-2022-06-16,Citizen Science - shared
51~65764+-1~19787_20220616_213029.wav,EARTH_20220616_213024.wav,2,51.65764,-1.19787,Pippip,Pipistrellus pipistrellus,Common Pipistrelle,bat,0.97,,16/06/2022,16/06/2022,21:30:29,ClassifEspGBR-WST2022-06-26_1,AKADEMY,202211071503JGC7NP1R,EarthTrust-ultra-2022-06-16,Citizen Science - shared
51~65764+-1~19787_20220616_213432.wav,EARTH_20220616_213432.wav,1,51.65764,-1.19787,Pippip,Pipistrellus pipistrellus,Common Pipistrelle,bat,0.97,,16/06/2022,16/06/2022,21:34:32,ClassifEspGBR-WST2022-06-26_1,AKADEMY,202211071503JGC7NP1R,EarthTrust-ultra-2022-06-16,Citizen Science - shared
51~65764+-1~19787_20220616_213559.wav,EARTH_20220616_213559.wav,1,51.65764,-1.19787,Pippip,Pipistrellus pipistrellus,Common Pipistrelle,bat,0.97,,16/06/2022,16/06/2022,21:35:59,ClassifEspGBR-WST2022-06-26_1,AKADEMY,202211071503JGC7NP1R,EarthTrust-ultra-2022-06-16,Citizen Science - shared
